vehicle,seen_in_training,n_epochs,predicted_range_km
KA03AK3338,False,180,263.0
KA03AL8100,False,36,228.9
KA01AQ2730,False,235,219.1
KA03AL8081,False,208,212.6
KA03AK3341,False,10,198.1
KA03AL8080,False,53,195.7
KA51AJ9394,False,85,195.5
KA03AL8093,False,135,193.3
KA03AL8074,False,11,191.9
KA51AL0297,False,76,187.4
KA03AK3343,False,159,186.3
KA03AK3347,False,159,181.1
KA51AJ9396,False,84,180.6
KA03AL8078,False,219,179.9
KA03AK3340,False,63,178.3
KA03AK3356,True,53,176.9
KA51AK0326,False,181,172.0
KA51AL2058,False,291,172.0
KA51AL0300,False,29,165.8
KA51AL0298,False,103,164.1
KA03AN1956,False,16,159.7
KA03AN1940,False,53,154.5
KA03AN1944,False,71,153.1
KA51AL0284,False,11,153.1
KA03AN1958,False,91,151.5
KA03AN1951,False,71,148.0
KA03AN4698,False,124,147.1
KA03AN1954,False,99,141.4
KA51AL2061,False,53,140.4
KA03AN1959,False,43,139.3
KA03AN1949,False,16,135.5
KA03AN1935,False,14,132.1
KA51AL0299,False,35,128.0
KA03AN1943,False,88,119.4
KA03AN1945,False,86,102.8
