vehicle,n_epochs,observed_median_range_km,predicted_range_km
KA01AQ2730,235,288.1,290.5
KA03AL8093,236,197.1,198.7
KA03AK3338,180,183.1,193.0
KA03AL8100,36,195.5,188.8
KA03AK3340,63,192.3,187.1
KA51AJ9394,85,182.3,186.9
KA03AL8078,219,182.3,183.6
KA51AL2058,292,181.1,183.5
KA03AL8074,11,148.6,181.4
KA03AK3347,159,173.0,180.3
KA03AL8081,208,187.4,179.8
KA03AK3343,253,176.9,178.4
KA51AK0326,348,174.5,175.2
KA03AL8080,53,173.6,175.1
KA03AK3356,53,162.4,171.8
KA51AJ9396,84,181.7,171.4
KA51AL0297,76,152.5,168.3
KA03AN1954,99,143.0,168.2
KA03AN1956,22,158.8,163.0
KA03AK3341,10,149.5,159.8
KA03AN4698,124,151.2,159.2
KA51AL0298,139,132.2,158.9
KA51AL0284,11,136.1,157.9
KA03AN1940,53,136.5,156.8
KA51AL0300,29,169.2,155.4
KA03AN1944,71,145.2,152.7
KA03AN1951,71,149.5,150.3
KA03AN1949,112,142.9,148.8
KA03AN1958,91,143.1,148.5
KA51AL2061,53,156.7,144.7
KA03AN1959,43,138.3,135.5
KA03AN1935,14,154.6,134.2
KA51AL0299,35,136.9,126.6
KA03AN1943,88,121.8,124.6
KA03AN1945,86,123.8,102.7
