,rho_pooled,consistency,rho_Citroen,rho_Intellicar,rho_Tata,mutual_info,perm_importance,score,selected,selection_order
pct_time_highway,0.40907754165941107,1.0,0.45647411102903696,0.43090237736042414,0.35781240767954725,0.14854863020448938,0.16229508830569478,0.95,True,1.0
moving_hours,0.36908782246199995,1.0,0.05174998492015641,0.2459506688611198,0.08020707618249742,0.12075428778000052,0.8158184762383156,0.8642857142857142,True,2.0
avg_speed,0.4180279769925358,1.0,0.48448181639728655,0.4569575930945819,0.33625465236764596,0.11894575778710514,0.10286320192767047,0.8428571428571427,True,4.0
pct_time_congested,-0.3607387989286337,1.0,-0.3606787754128987,-0.4070034937989609,-0.3505415494384764,0.1306105010652967,0.0712121975632248,0.807142857142857,True,3.0
peak_speed,0.3592558890501438,1.0,0.361518599829952,0.4023393556296974,0.10768774629924786,0.12898139589465796,0.029392162260432942,0.6357142857142857,True,6.0
pct_time_moving,0.1321876421832517,1.0,0.14989618195631957,0.20709816077608156,0.10996887955605185,0.06791956444287806,0.06291314163012686,0.45714285714285713,True,7.0
speed_std,0.3011096615050359,1.0,0.26907069967438957,0.31867083922412215,0.07975007353548634,0.08499353494402406,0.0029945884597295637,0.42499999999999993,False,
active_hours,0.2700898117023883,0.6666666666666666,-0.03210351950501117,0.10547219497487445,0.05132767854084582,0.07492491031110049,0.04182442379143162,0.4196428571428571,False,
speed_iqr,0.2715095346591474,1.0,0.15112227915790538,0.26567170736051127,0.24610700782594086,0.06162974997645865,0.007395099367060509,0.36071428571428565,False,
rest_hours_before,0.32668830048544256,0.6666666666666666,0.1710121867538508,0.22994879748291053,-0.15265955303637585,0.1049064482217088,-0.021989958373040186,0.3511904761904761,True,8.0
odometer_start,0.17472674688118262,0.6666666666666666,-0.29483013948708664,0.27984941950882275,0.011618741647257647,0.1470867394648181,-0.02775034858479213,0.3363095238095238,True,5.0
start_hour,0.02865910113407523,1.0,0.18063919723488936,0.03007413888972845,0.19924442954969304,0.04421866691734522,0.007837488749311516,0.18928571428571428,False,
month,0.11438042872137012,0.0,-0.017173845678965037,-0.042074615572490336,-0.021310388128602722,0.04337673825295907,0.036058017414791955,0.14642857142857144,False,
avg_soc,-0.036489997348548436,0.0,0.15964309172722796,0.01766620797812269,0.1240712886125143,0.021419714870998696,0.040762693828445495,0.1357142857142857,False,
is_weekend,0.03435392992157174,0.6666666666666666,0.014576183500829041,0.048169671601141675,-0.02348484634213789,0.0,-2.04870095639742e-05,0.06249999999999999,False,
