device,vehicle,n_epochs,observed_median_range_km,predicted_range_km
Citroen,HR55AU9329,71,247.6,234.0
Citroen,HR55AU8504,74,221.8,217.9
Citroen,HR55AU4541,129,223.8,215.6
Citroen,HR55AU8744,130,220.9,214.1
Citroen,HR55AU8704,70,206.8,212.8
Citroen,HR55AU9253,95,202.7,207.2
Intellicar,KA01AQ2730,245,285.7,317.6
Intellicar,KA51AK2620,117,238.9,238.8
Intellicar,KA03AL8100,53,191.1,196.8
Intellicar,KA03AK3335,82,181.6,195.8
Intellicar,KA03AK3341,124,178.3,191.7
Intellicar,KA51AL2058,341,179.1,191.7
Intellicar,KA03AK3338,225,182.6,189.7
Intellicar,KA03AL8093,153,192.7,188.6
Intellicar,KA51AJ9396,102,178.5,187.8
Intellicar,KA03AK3347,209,171.1,187.7
Intellicar,KA51AJ9394,108,183.4,186.3
Intellicar,KA03AL8080,65,173.6,185.0
Intellicar,KA51AK0326,197,173.1,182.6
Intellicar,KA03AL8078,277,187.2,180.5
Intellicar,KA03AL2768,118,183.1,180.1
Intellicar,KA03AL8074,18,146.4,179.6
Intellicar,KA03AK3343,205,176.7,179.2
Intellicar,KA03AK3356,67,162.4,179.0
Intellicar,KA03AL8081,285,182.2,177.8
Intellicar,KA03AK3340,88,192.2,177.6
Intellicar,KA03AN1946,4,150.5,175.4
Intellicar,KA03AL8097,43,178.7,172.9
Intellicar,KA51AL2061,50,155.2,163.7
Intellicar,KA51AL0300,30,170.4,163.2
Intellicar,KA03AN1958,85,143.1,159.6
Intellicar,KA51AL0297,70,152.5,159.3
Intellicar,KA03AN1954,81,145.5,157.7
Intellicar,KA03AN4698,155,148.7,154.0
Intellicar,KA03AN1935,8,149.0,150.5
Intellicar,KA03AN1949,48,141.9,149.1
Intellicar,KA03AN1959,34,142.2,148.1
Intellicar,KA03AN1960,30,143.3,144.8
Intellicar,KA03AN1956,14,158.3,144.7
Intellicar,KA03AN1944,69,147.1,144.4
Intellicar,KA03AN1951,64,141.2,138.9
Intellicar,KA51AL0284,6,139.0,138.7
Intellicar,KA51AL0298,96,130.9,137.6
Intellicar,KA03AN1940,73,136.5,134.9
Intellicar,KA03AK3342,1,141.4,133.2
Intellicar,KA03AN1945,63,119.5,132.7
Intellicar,KA51AL0299,31,131.1,127.7
Intellicar,KA03AN1943,86,121.8,125.5
Tata,DL52GD9514,36,242.3,229.5
Tata,DL52GD9519,40,223.9,209.7
Tata,DL52GD9543,37,223.3,208.4
Tata,DL52GD9532,37,220.7,204.9
Tata,DL52GD9590,42,219.9,203.7
Tata,DL52GD9509,33,202.3,202.0
Tata,DL52GD9566,38,195.0,200.6
Tata,DL52GD9580,34,205.7,200.2
Tata,DL52GD9565,36,196.5,199.6
Tata,DL52GD9513,23,197.3,197.7
