vehicleNumber,telematicDeviceType
KA51AM6403,Intellicar
HR55BE2035,NO_DEVICE
HR55AQ1476,NO_DEVICE
HR55AR2397,NO_DEVICE
HR55AD8274,NO_DEVICE
HR55AL8794,NO_DEVICE
HR55AU7955,NO_DEVICE
HR55BE3867,Tata
HR55BE5344,Tata
HR55BE3884,Tata
HR55BE1298,Tata
HR55BE3348,Tata
HR55BE3718,Tata
HR55BE6338,Tata
HR55BE0712,Tata
HR55BE4787,Tata
HR55BE4668,Tata
HR55BE5775,Tata
HR55BE8533,Tata
HR55BE7031,Tata
HR55BE7348,Tata
HR55AR9522,NO_DEVICE
HR55AS2539,NO_DEVICE
KA51AM5337,Intellicar
HR55BC7295,NO_DEVICE
HR55BC0940,NO_DEVICE
KA51AJ9306,NO_DEVICE
KA51AM5336,Intellicar
HR55AH6291,NO_DEVICE
HR55AT3230,NO_DEVICE
HR55AR8815,NO_DEVICE
HR55BC5264,NO_DEVICE
HR55BC2441,NO_DEVICE
HR55BC0989,NO_DEVICE
KA51AL7764,NO_DEVICE
KA51AL8141,NO_DEVICE
KA51AL7789,NO_DEVICE
KA51AL7768,NO_DEVICE
KA51AL8142,NO_DEVICE
KA51AL8140,NO_DEVICE
KA51AL8139,NO_DEVICE
KA51AL8138,NO_DEVICE
KA51AL7775,NO_DEVICE
KA51AL7771,NO_DEVICE
KA51AL7770,NO_DEVICE
KA51AL7769,NO_DEVICE
KL51AL7765,NO_DEVICE
KA51AL7763,NO_DEVICE
KA03AL2768,Intellicar
KA51AK5670,Intellicar
KA51AK2206,NO_DEVICE
KA51AK2207,NO_DEVICE
KA51AK1920,NO_DEVICE
KA51AM6395,Intellicar
KA51AM5346,Intellicar
KA51AM6392,Intellicar
DL52GD9509,Tata
DL52GD9565,Tata
DL52GD9566,Tata
DL52GD9532,Tata
DL52GD9580,Tata
DL52GD9543,Tata
DL52GD9513,Tata
DL52GD9514,Tata
DL52GD9519,Tata
DL52GD9590,Tata
HR55BD5378,NO_DEVICE
HR55AU4541,Citroen
HR55AU9937,Citroen
HR55AU9671,Citroen
HR55AU9566,Citroen
HR55AU9516,Citroen
HR55AU9512,Citroen
HR55AU9340,Citroen
HR55AU9329,Citroen
HR55AU9253,Citroen
HR55AU9233,Citroen
HR55AU8744,Citroen
HR55AU8704,Citroen
HR55AU8504,Citroen
HR55AU8405,Citroen
HR55AU8352,Citroen
HR55AU7856,Citroen
HR55AU7771,Citroen
HR55AU7217,Citroen
HR55AU6749,Citroen
HR55AU6747,Citroen
HR55AU6155,Citroen
HR55AU6114,Citroen
HR55AU6061,Citroen
HR55AU5937,Citroen
HR55AU5624,Citroen
HR55AU5560,Citroen
HR55AU5491,Citroen
HR55AU5423,Citroen
HR55AU5421,Citroen
HR55AU5307,Citroen
HR55AU5296,Citroen
HR55AU5266,Citroen
HR55AU5121,Citroen
HR55AU4385,Citroen
HR55AU4293,Citroen
HR55AU4040,Citroen
HR55AU3912,Citroen
HR55AU3868,Citroen
HR55AU3751,Citroen
HR55AU3686,Citroen
HR55AU3402,Citroen
HR55AU3290,Citroen
HR55AU3235,Citroen
HR55AU2603,Citroen
HR55AU2487,Citroen
HR55AU2051,Citroen
HR55AU1973,Citroen
HR55AU1652,Citroen
HR55AU1626,Citroen
HR55AU1259,Citroen
HR55AU0304,Citroen
HR55BA9638,Citroen
HR55BA9366,Citroen
HR55BA9207,Citroen
HR55BA8491,Citroen
HR55BA8413,Citroen
HR55BA8089,Citroen
HR55BA6391,Citroen
HR55BA6015,Citroen
HR55BA4967,Citroen
HR55BA4430,Citroen
HR55BA4286,Citroen
HR55BA3598,Citroen
HR55BA3191,Citroen
HR55BA2673,Citroen
HR55BA2211,Citroen
